tissue	marker	gene_id	gene_name	seq	start	counts_by_sample
Stomach	CHIA	AMEX60DD009143	LOC115074467 [nr]|CHIA [hs]	chr13p	221127067	59,93,160,51,84,0,59,85,105,64,84,140,77,46,39
Stomach	CHIA	AMEX60DD009144	LOC115074467 [nr]|CHIA [hs]	chr13p	221307000	158,207,1062,190,308,0,146,166,362,82,184,399,155,84,115
Stomach	CHIA	AMEX60DD009148	LOC103271472 [nr]|CHIA [hs]	chr13p	221561735	203,391,245,209,299,0,260,268,469,129,312,2634,296,162,187
Stomach	CHIA	AMEX60DD009153	CHIT1 [nr]|CHIA [hs]	chr13p	222085414	46,69,44,54,192,0,56,46,129,53,293,125,38,106,49
Stomach	CHIA	AMEX60DD009154	LOC115074466 [nr]|CHIA [hs]	chr13p	222335618	113,185,107,209,186,0,119,244,278,91,153,1991,143,82,66
Stomach	PGC	AMEX60DD009171	LOC115073695 [nr]|PGC [hs]	chr13p	225233763	1480,2385,2650,517,3117,0,2902,1520,2604,2199,2974,2602,3275,2099,2164
Stomach	KRT19	AMEX60DD010095	LOC108787112 [nr]|KRT19 [hs]	chr13q	301517320	209,355,114,315,337,0,220,190,357,135,330,548,263,96,176
Stomach	KRT19	AMEX60DD010100	AB205_0156120 [nr]|KRT19 [hs]	chr13q	302406530	2102,912,1982,786,2667,0,1923,549,1535,378,2457,1487,2328,154,2007
Stomach	KRT19	AMEX60DD038184	LOC115084509 [nr]|KRT19 [hs]	chr5p	855700851	321,610,156,304,1225,359,370,308,641,229,377,689,394,289,178
Stomach	KRT19	AMEX60DD038192	LOC115084509 [nr]|KRT19 [hs]	chr5p	856475409	159,215,159,120,946,187,187,154,529,31,231,346,199,149,96
Stomach	ATP4B	AMEX60DD048267	ATP4B	chr7p	825173800	266,375,120,196,308,317,245,285,441,122,334,537,336,181,139
