"Supplementary Table 16. Results from DEPICT gene prioritization analysis. Within each height-associated locus, genes were prioritized using the Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of that locus. The DEPICT method prioritizes genes within a given associated loci based on the genes’ functional similarity to genes from other height-associated loci. Genes that are highly similar to genes from other loci obtain low prioritization P-values. Prioritization P-values are adjusted for the number of genes in the given and significance was set at FDR<0.05. Table lists also the biological evidence for each prioritized gene: 1) DEPICT gene set evidence (Supplementary Table 14); 2) OMIM evidence (Supplementary Table 9); 3) GRAIL evidence (Supplementary Table 13); 4) and 5) rodent growth plate evidence&; 6) Jackson Lab evidence was obtained by matching Gene column entries to Jackson Lab database (http://www.informatics.jax.org/) on genes reported to have either ""growth/size"", ""limb/tail/digit"" or ""skeleton"" phenotype; 7) eQTL evidence#; 8) nsSNP evidence (Supplementary Table 7) and 9) distance evidence (Supplementary Table 1). Only genes that were significantly prioritized (FDR<0.05) are listed.

#eQTL lists obtained from Westra et al. 2013 (ref. 21)
&Gene sets obtained from Lui et al. 2012 (ref. 28)"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
rs300039	16	86612115	86615303	1	ENSG00000176678	FOXL1	Yes	3.84e-06	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs2023693	16	20634559	21170762	8	ENSG00000066654	THUMPD1	Yes	3.95e-06	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs2305833	2	219283815	219680016	10	ENSG00000135913	USP37	No	4.15e-06	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs9766	17	40834632	40913275	3	ENSG00000197291	-	Yes	4.56e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs7319045	13	92000074	93519490	2	ENSG00000215417	-	No	4.62e-06	Yes	No	No	No	No	No	No	No	No	Yes	2
rs1036477	15	48700503	48944213	2	ENSG00000166147	FBN1	Yes	4.68e-06	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	7
rs568610	8	27491385	27534190	1	ENSG00000168077	SCARA3	Yes	4.79e-06	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000242797	-	No	4.97e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs12144094	1	120202421	120286838	1	ENSG00000092621	PHGDH	Yes	5.47e-06	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs7561273	2	23608088	24392509	8	ENSG00000173960	UBXN2A	No	5.52e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs13393800	2	233390703	233448354	4	ENSG00000221944	TIGD1	No	5.53e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1529701-rs4620037	5	170846660	170884627	1	ENSG00000156427	FGF18	No	5.75e-06	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs1935157	1	221051699	221059124	1	ENSG00000136630	HLX	Yes	6.09e-06	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs999599	9	116917840	117074791	1	ENSG00000196739	COL27A1	Yes	6.51e-06	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs16895130	6	41762107	42018095	4	ENSG00000124641	MED20	Yes	6.75e-06	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs11750568	5	178450753	178772431	3	ENSG00000177932	ZNF354C	Yes	6.94e-06	Yes	No	No	Yes	No	No	Yes	No	Yes	No	4
rs915506	10	97512963	98031333	5	ENSG00000107443	CCNJ	Yes	7.23e-06	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs4746769	10	70090931	70231879	3	ENSG00000138346	DNA2	Yes	7.25e-06	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs6596075-rs7701414	5	130581186	131811736	12	ENSG00000217128	FNIP1	No	7.26e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs301901	5	36876861	37753537	4	ENSG00000082068	WDR70	Yes	7.73e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs17163588	1	26377795	26605299	7	ENSG00000197245	FAM110D	No	8.45e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2044124-rs2070776	17	61699801	62050278	14	ENSG00000198231	DDX42	No	8.67e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6813055	4	88489187	88733074	3	ENSG00000029559	IBSP	Yes	8.69e-06	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	No	6
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000010322	NISCH	No	8.93e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1550162	8	117654369	117779164	1	ENSG00000147677	EIF3H	Yes	9.2e-06	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1552173	17	76670130	76836969	2	ENSG00000055483	USP36	Yes	9.32e-06	Yes	No	No	No	Yes	No	Yes	No	Yes	No	4
rs17450430	20	47538275	47905797	6	ENSG00000177410	-	No	9.43e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs17807185	7	77166592	77586818	5	ENSG00000006576	PHTF2	Yes	1.04e-05	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs9825951	3	99357319	99518070	1	ENSG00000144810	COL8A1	Yes	1.06e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs9816693	3	37903451	38048679	2	ENSG00000136059	VILL	Yes	1.11e-05	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs11684404	2	88838238	89106126	5	ENSG00000153574	RPIA	No	1.11e-05	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs3814333	1	184020811	184043346	1	ENSG00000198860	TSEN15	No	1.17e-05	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs1405212	6	117586721	117594728	1	ENSG00000170162	VGLL2	No	1.28e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs7659107	4	114821440	114900883	1	ENSG00000180801	ARSJ	Yes	1.29e-05	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs12693589	2	191511472	192016322	4	ENSG00000138386	NAB1	Yes	1.32e-05	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs2811594	1	92940319	93427079	5	ENSG00000207523	-	No	1.55e-05	Yes	No	No	No	No	No	No	No	No	No	1
rs2278483	2	24714783	25142708	4	ENSG00000084676	NCOA1	No	1.58e-05	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs11221442	11	128555046	128683161	1	ENSG00000151702	FLI1	No	1.65e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs1544196	1	224102741	226595780	4	ENSG00000143799	PARP1	Yes	1.66e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7551732	1	89149905	89458636	4	ENSG00000207234	-	No	1.77e-05	Yes	No	No	No	No	No	No	No	No	No	1
rs780094	2	27505260	27858041	14	ENSG00000115241	PPM1G	Yes	1.87e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2974438	5	168088745	168728133	1	ENSG00000184347	SLIT3	No	1.9e-05	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs6688100	1	160160285	160398468	8	ENSG00000122218	COPA	Yes	2.38e-05	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs12470505-rs16859517	2	219866937	220050201	6	ENSG00000163501	IHH	No	2.41e-05	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	7
rs12863103	13	33677307	33859892	1	ENSG00000133121	STARD13	No	2.56e-05	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2123731	19	4909510	4962162	1	ENSG00000034063	UHRF1	Yes	2.6e-05	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs6813055	4	88489187	88733074	3	ENSG00000152592	DMP1	Yes	2.62e-05	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs17574650	5	42423879	42721979	1	ENSG00000112964	GHR	Yes	2.65e-05	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs749234	2	145121063	145282147	1	ENSG00000169554	ZEB2	Yes	2.67e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs10794175	10	126307861	126432838	2	ENSG00000189319	FAM53B	Yes	2.67e-05	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs39623	5	128795958	129074376	1	ENSG00000145808	ADAMTS19	Yes	2.78e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs4785393	16	50186829	50269221	1	ENSG00000121274	PAPD5	Yes	2.93e-05	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs17075869	5	172741716	172756506	1	ENSG00000113739	STC2	No	3.05e-05	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs4601530	1	25071848	25170815	1	ENSG00000169504	CLIC4	No	3.05e-05	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs10779751	1	11086580	11356106	7	ENSG00000171824	EXOSC10	Yes	3.15e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs992157	2	219081817	219211516	5	ENSG00000127837	AAMP	No	3.8e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs425277	1	1981909	2144159	3	ENSG00000182873	-	No	3.85e-05	Yes	No	No	No	No	No	No	No	No	Yes	2
rs7517682	1	103342023	103574052	1	ENSG00000060718	COL11A1	Yes	4.13e-05	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	7
rs2306596	4	39184024	39367995	2	ENSG00000035928	RFC1	Yes	4.16e-05	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs17450430	20	47538275	47905797	6	ENSG00000124201	ZNFX1	No	4.39e-05	Yes	No	No	No	No	No	Yes	Yes	Yes	No	4
rs17792664	14	21819631	21979517	6	ENSG00000092201	SUPT16H	Yes	4.57e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3014219	1	45809555	46642160	13	ENSG00000117461	PIK3R3	Yes	4.79e-05	Yes	No	Yes	Yes	No	No	Yes	No	No	No	4
rs1053996	16	3138895	3199964	4	ENSG00000085644	ZNF213	No	5.17e-05	Yes	No	No	No	No	No	No	Yes	No	No	2
rs757081	11	17035545	17410878	5	ENSG00000184669	-	No	5.43e-05	Yes	No	No	No	No	No	No	No	No	No	1
rs782930	15	60780483	61521518	1	ENSG00000069667	RORA	No	5.53e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs11722554-rs6446315	4	5016313	5021199	1	ENSG00000170891	CYTL1	Yes	5.54e-05	Yes	No	No	No	No	Yes	Yes	Yes	Yes	Yes	6
rs11612228	12	569530	672675	1	ENSG00000139044	B4GALNT3	Yes	5.74e-05	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs16834765	1	32372022	32410457	2	ENSG00000184007	PTP4A2	Yes	5.99e-05	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs6971575	7	96110938	96339203	1	ENSG00000127922	SHFM1	Yes	6.77e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs6596075-rs7701414	5	130581186	131811736	12	ENSG00000072682	P4HA2	No	6.9e-05	Yes	No	No	Yes	No	No	Yes	No	No	No	3
rs5742915	15	74287014	74339112	1	ENSG00000140464	PML	No	6.96e-05	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	5
rs1681630	11	47352957	48192393	15	ENSG00000030066	NUP160	No	7.49e-05	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs936339	3	142025449	142608045	5	ENSG00000163710	PCOLCE2	Yes	7.6e-05	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs6696239	1	227751236	227968927	3	ENSG00000081692	JMJD4	No	7.9e-05	Yes	No	No	No	No	No	No	Yes	No	No	2
rs4686904	3	187439165	187463515	1	ENSG00000113916	BCL6	Yes	8.2e-05	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs17450430	20	47538275	47905797	6	ENSG00000124228	DDX27	No	8.53e-05	Yes	No	No	No	No	No	Yes	No	Yes	No	3
rs212524	1	21543740	21671997	1	ENSG00000117298	ECE1	Yes	8.55e-05	Yes	No	Yes	Yes	No	Yes	Yes	No	No	Yes	6
rs10767838	11	30252563	30608419	3	ENSG00000066382	MPPED2	Yes	8.96e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2028067	17	30178883	30328064	3	ENSG00000108651	UTP6	No	9.45e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs301901	5	36876861	37753537	4	ENSG00000113569	NUP155	Yes	9.48e-05	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12119525	1	27425306	27493472	1	ENSG00000090020	SLC9A1	No	9.53e-05	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs6596075-rs7701414	5	130581186	131811736	12	ENSG00000158987	RAPGEF6	No	9.56e-05	Yes	No	No	Yes	No	No	Yes	No	No	No	3
rs8073371	17	46018889	46507594	9	ENSG00000005243	COPZ2	Yes	9.91e-05	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs310421-rs3828760	6	82201156	82462491	1	ENSG00000112773	FAM46A	No	0.000103	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs2305833	2	219283815	219680016	10	ENSG00000144580	RQCD1	No	0.000105	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs4973429	2	232318242	232379050	3	ENSG00000115053	NCL	No	0.00011	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs2763273	6	168841831	169073984	1	ENSG00000112562	SMOC2	Yes	0.000113	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs692964	18	12947983	13125051	2	ENSG00000101639	CEP192	Yes	0.000124	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs13113518	4	56212276	56502865	6	ENSG00000134852	CLOCK	Yes	0.000127	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs2596831	3	12525931	12705725	3	ENSG00000075975	MKRN2	No	0.000129	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3760318	17	29158988	29286340	3	ENSG00000176208	ATAD5	No	0.000148	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6887276	5	127276118	127525380	2	ENSG00000064651	SLC12A2	Yes	0.000149	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs6435143	2	203070903	203168389	2	ENSG00000055044	NOP58	Yes	0.000149	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs17410035	5	31400604	31555165	2	ENSG00000082213	C5orf22	Yes	0.00016	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs6829680	4	7760441	7942023	2	ENSG00000196526	AFAP1	Yes	0.000162	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs1681630	11	47352957	48192393	15	ENSG00000165915	SLC39A13	No	0.00018	Yes	Yes	No	No	No	Yes	Yes	No	No	No	4
rs209918	1	40766159	40783488	1	ENSG00000049089	COL9A2	No	0.000181	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	8
rs4337252	15	74218792	74244478	1	ENSG00000129038	LOXL1	No	0.000181	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs1036821	8	135490031	135725292	1	ENSG00000066827	ZFAT	No	0.000185	Yes	No	No	No	Yes	No	No	No	No	Yes	3
rs7043114	9	95087766	95650975	8	ENSG00000127083	OMD	No	0.000186	Yes	No	Yes	Yes	No	No	Yes	No	No	No	4
rs17450430	20	47538275	47905797	6	ENSG00000124207	CSE1L	No	0.00019	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3782089	11	65337901	65341413	1	ENSG00000173465	SSSCA1	No	0.000215	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2682587	19	43979255	44088106	5	ENSG00000176531	PHLDB3	Yes	0.000215	Yes	No	No	No	No	No	No	No	No	No	1
rs429433	8	8640864	8751155	1	ENSG00000147324	MFHAS1	Yes	0.000219	Yes	No	No	No	No	No	No	No	Yes	Yes	3
rs13113518	4	56212276	56502865	6	ENSG00000134851	TMEM165	Yes	0.000221	Yes	No	No	No	No	No	Yes	No	No	No	2
rs953199	9	100263462	100459639	4	ENSG00000136937	NCBP1	Yes	0.000226	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs12435366	14	35870717	35873955	1	ENSG00000100906	NFKBIA	Yes	0.00023	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1966913	16	67311413	68263162	31	ENSG00000102977	ACD	Yes	0.000235	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs888403	18	2655886	2805015	2	ENSG00000207034	-	Yes	0.00024	Yes	No	No	No	No	No	No	No	No	Yes	2
rs7162825	15	63413999	63601325	4	ENSG00000185088	RPS27L	Yes	0.000248	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs7853235	9	86354336	86618985	4	ENSG00000165113	GKAP1	No	0.000256	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs10152739	15	38544527	38649450	1	ENSG00000166068	SPRED1	Yes	0.000284	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs11640018	16	75327608	75467383	1	ENSG00000153774	CFDP1	Yes	0.000286	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs692964	18	12947983	13125051	2	ENSG00000085415	SEH1L	Yes	0.000291	Yes	No	No	No	No	No	Yes	Yes	Yes	No	4
rs780094	2	27505260	27858041	14	ENSG00000115234	SNX17	Yes	0.000297	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3958122	4	1694527	1746898	3	ENSG00000163950	SLBP	No	0.00033	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs422421	5	176513887	176525145	1	ENSG00000160867	FGFR4	No	0.00035	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	5
rs2509133	11	69902336	70035634	2	ENSG00000248844	-	Yes	0.000356	Yes	No	No	No	No	No	No	No	No	No	1
rs7069985	10	27793197	27829092	1	ENSG00000099246	RAB18	Yes	0.000365	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs7899004	10	104221149	104474164	5	ENSG00000138175	ARL3	Yes	0.000369	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4812586	20	35504534	35870022	5	ENSG00000080839	RBL1	Yes	0.000389	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs7853235	9	86354336	86618985	4	ENSG00000178966	RMI1	No	0.00039	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs7985356	13	115000362	115038198	1	ENSG00000130177	CDC16	Yes	0.0004	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs7646824-rs9841435	3	190984957	191116459	2	ENSG00000152492	CCDC50	Yes	0.000405	Yes	No	No	No	No	No	Yes	Yes	Yes	No	4
rs11616380	13	80910111	80915086	1	ENSG00000136158	SPRY2	Yes	0.000413	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs12855	1	50883222	51440305	3	ENSG00000185104	FAF1	Yes	0.000433	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7544462	1	37958176	38100595	5	ENSG00000163877	SNIP1	Yes	0.000437	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3812591	9	139270029	139372141	5	ENSG00000165684	SNAPC4	No	0.000442	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7727731	5	64444563	64777747	1	ENSG00000049192	ADAMTS6	Yes	0.00046	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs1966913	16	67311413	68263162	31	ENSG00000102901	CENPT	Yes	0.00046	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6435143	2	203070903	203168389	2	ENSG00000116030	SUMO1	Yes	0.000479	Yes	No	Yes	No	No	No	No	No	No	No	2
rs17777628-rs1812175	4	145564074	145666423	2	ENSG00000164161	HHIP	No	0.000483	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	5
rs6974574	7	37945543	38065297	1	ENSG00000106483	SFRP4	No	0.00049	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs10863936	1	212113741	212280742	2	ENSG00000143493	INTS7	No	0.000532	Yes	No	No	No	No	No	Yes	No	No	No	2
rs867245	4	2073645	2243891	2	ENSG00000214367	HAUS3	No	0.000576	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs8052560	16	88772891	88781784	1	ENSG00000174177	CTU2	No	0.000612	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2057291	20	57414773	57486247	1	ENSG00000087460	GNAS	Yes	0.000614	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs9217	17	7362685	7417933	2	ENSG00000174282	ZBTB4	Yes	0.000648	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs11244750	10	127585108	128077024	2	ENSG00000148848	ADAM12	Yes	0.000676	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs1815314-rs1923367	10	80828792	81205383	3	ENSG00000165424	ZCCHC24	No	0.000677	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7899004	10	104221149	104474164	5	ENSG00000138107	ACTR1A	Yes	0.000694	Yes	No	No	No	No	No	Yes	No	No	No	2
rs17792664	14	21819631	21979517	6	ENSG00000165819	METTL3	Yes	0.000734	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2531992	16	4012657	4166186	1	ENSG00000162104	ADCY9	Yes	0.000745	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs16895130	6	41762107	42018095	4	ENSG00000112578	BYSL	Yes	0.000758	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs870183	17	411908	695749	7	ENSG00000179409	GEMIN4	Yes	0.000761	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs9835332	3	56591189	56717265	2	ENSG00000180376	CCDC66	No	0.0008	Yes	No	No	No	No	No	Yes	No	Yes	No	3
rs2275325	1	203764782	203839678	2	ENSG00000182004	SNRPE	Yes	0.000814	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000163935	SFMBT1	No	0.000865	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs2306694	12	56623833	56753939	8	ENSG00000062485	CS	No	0.000929	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs3014219	1	45809555	46642160	13	ENSG00000132780	NASP	Yes	0.00093	Yes	No	No	No	No	No	Yes	No	No	No	2
rs10779751	1	11086580	11356106	7	ENSG00000198793	MTOR	Yes	0.000944	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs12871822	13	48807294	49283498	7	ENSG00000136161	RCBTB2	Yes	0.000982	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs11198820-rs291979	10	120967101	121215131	1	ENSG00000198873	GRK5	Yes	0.001	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs2573625-rs4246302-rs4548838	15	100511794	100882210	1	ENSG00000140470	ADAMTS17	No	0.001	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs2915404-rs7126398	11	13983914	14521573	3	ENSG00000129083	COPB1	Yes	0.001	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs2597513	3	13573824	13679922	1	ENSG00000163520	FBLN2	No	0.001	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs26868	16	2227184	2264822	4	ENSG00000167965	MLST8	No	0.001	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs9309101	2	43393800	43823185	1	ENSG00000115970	THADA	Yes	0.001	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs4974480	3	134196548	134979309	4	ENSG00000182923	CEP63	Yes	0.001	Yes	No	No	Yes	No	No	No	Yes	No	No	3
rs2044124-rs2070776	17	61699801	62050278	14	ENSG00000108592	FTSJ3	No	0.001	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs11634405	15	71389291	72075722	1	ENSG00000187720	THSD4	No	0.001	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs17081935	4	57774042	57931769	4	ENSG00000047315	POLR2B	No	0.001	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6441170	3	157813743	157824292	1	ENSG00000168779	SHOX2	Yes	0.002	Yes	No	Yes	Yes	No	Yes	Yes	No	No	Yes	6
rs2679184	2	232786530	232791113	1	ENSG00000163273	NPPC	No	0.002	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs6420435	16	82181767	82203831	1	ENSG00000135698	MPHOSPH6	Yes	0.002	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5
rs2888877	7	92234235	92465908	1	ENSG00000105810	CDK6	No	0.002	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs13177718	5	108083523	108532542	1	ENSG00000151422	FER	No	0.002	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs10817960-rs12344396-rs1742829-rs7033487	9	118916083	120177348	3	ENSG00000182752	PAPPA	Yes	0.002	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs3958122	4	1694527	1746898	3	ENSG00000013810	TACC3	No	0.002	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs12513181	4	123747863	124235809	3	ENSG00000145375	SPATA5	Yes	0.002	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2338115	17	36909003	36981589	3	ENSG00000108296	CWC25	No	0.002	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs10958476-rs6999671	8	56685701	57131357	6	ENSG00000008988	RPS20	No	0.002	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs4986172	17	43186335	43247406	4	ENSG00000161714	PLCD3	No	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11880124	19	42470734	42732353	8	ENSG00000167625	ZNF526	No	0.002	Yes	No	No	No	No	No	No	No	Yes	No	2
rs11642612	16	29911700	30134827	17	ENSG00000149929	HIRIP3	Yes	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4812586	20	35504534	35870022	5	ENSG00000118705	RPN2	Yes	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11677466-rs2343240	2	232825955	233209060	1	ENSG00000144535	DIS3L2	No	0.002	Yes	No	No	No	No	No	No	No	No	Yes	2
rs2164747	12	104323885	104457961	4	ENSG00000166598	HSP90B1	Yes	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2044124-rs2070776	17	61699801	62050278	14	ENSG00000125695	STRADA	No	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs584828	17	38465436	38613983	4	ENSG00000131747	TOP2A	Yes	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12904334	15	72114632	73852355	14	ENSG00000067225	PKM2	No	0.002	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12458127-rs9967417	18	46570172	47015678	3	ENSG00000202093	-	No	0.002	Yes	No	No	No	No	No	No	No	No	No	1
rs4803468	19	41856816	42006550	4	ENSG00000077348	EXOSC5	No	0.003	Yes	No	No	No	Yes	No	Yes	No	Yes	No	4
rs10140101-rs862034	14	74942895	75079306	3	ENSG00000119681	LTBP2	No	0.003	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs13393800	2	233390703	233448354	4	ENSG00000135930	EIF4E2	No	0.003	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs11745439	5	33440802	33469644	1	ENSG00000113407	TARS	No	0.003	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs9766	17	40834632	40913275	3	ENSG00000108799	EZH1	Yes	0.003	Yes	No	No	No	No	No	Yes	No	No	Yes	3
