#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
RABEPK	RABEPK	NM_001174153.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
RABEPK	RABEPK	NM_005833.4	protein_coding	0	0	0	3	0	0	2	1	0	0	0	0	0
RABGAP1	RABGAP1	NM_012197.4	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
RABL6	RABL6	NM_001173988.2	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	2
RABL6	RABL6	NM_001173989.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
RABL6	RABL6	NM_024718.5	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	2
RAD23B	RAD23B	NM_001244713.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
RAD23B	RAD23B	NM_001244724.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
RAD23B	RAD23B	NM_002874.5	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
RALGDS	RALGDS	NM_001042368.3	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
RALGDS	RALGDS	NM_001271774.2	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
RALGDS	RALGDS	NM_001271775.2	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
RALGDS	RALGDS	NM_001271776.2	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
RALGDS	RALGDS	NM_006266.4	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
RALGPS1	RALGPS1	NM_001190728.1	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001190729.1	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001190730.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322320.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322321.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322322.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322323.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322324.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001322325.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001366399.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
RALGPS1	RALGPS1	NM_001366400.1	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_001366401.1	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RALGPS1	RALGPS1	NM_014636.3	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
RAPGEF1	RAPGEF1	NM_001304275.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
RAPGEF1	RAPGEF1	NM_005312.3	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
RAPGEF1	RAPGEF1	NM_198679.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
RC3H2	RC3H2	NM_001100588.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
RC3H2	RC3H2	NM_001354478.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
RC3H2	RC3H2	NM_001354479.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
RC3H2	RC3H2	NM_001354482.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
RC3H2	RC3H2	NM_001354486.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
RC3H2	RC3H2	NM_018835.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
REXO4	REXO4	NM_001279349.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
REXO4	REXO4	NM_001279350.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
REXO4	REXO4	NM_001279351.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
REXO4	REXO4	NM_020385.4	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
RGS3	RGS3	NM_001276260.2	protein_coding	0	2	1	3	0	0	0	3	1	0	0	0	2
RGS3	RGS3	NM_001276261.1	protein_coding	0	2	0	6	0	0	0	6	0	0	0	0	2
RGS3	RGS3	NM_001276262.2	protein_coding	0	2	0	2	0	1	2	0	0	0	0	0	1
RGS3	RGS3	NM_001282922.2	protein_coding	0	2	1	3	0	0	0	3	1	0	0	0	2
RGS3	RGS3	NM_001282923.2	protein_coding	0	3	1	5	0	0	0	5	1	0	0	0	3
RGS3	RGS3	NM_001322214.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
RGS3	RGS3	NM_001322215.2	protein_coding	0	2	1	3	0	0	0	3	1	0	0	0	2
RGS3	RGS3	NM_001351526.2	protein_coding	0	2	1	3	0	0	0	3	1	0	0	0	2
RGS3	RGS3	NM_017790.4	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
RGS3	RGS3	NM_130795.4	protein_coding	0	3	1	4	0	0	0	4	1	0	0	0	3
RGS3	RGS3	NM_134427.2	protein_coding	0	1	0	5	0	0	0	5	0	0	0	0	1
RGS3	RGS3	NM_144488.6	protein_coding	0	3	1	5	0	0	0	5	1	0	0	0	3
RGS3	RGS3	NM_144489.3	protein_coding	0	2	2	0	0	0	0	0	2	0	0	0	2
SARDH	SARDH	NM_001134707.2	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
SARDH	SARDH	NM_007101.4	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
SCAI	SCAI	NM_001144877.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SCAI	SCAI	NM_173690.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SET	SET	NM_001122821.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
SET	SET	NM_001248000.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
SET	SET	NM_001248001.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
SET	SET	NM_001374326.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
SET	SET	NM_003011.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
SETX	SETX	NM_001351527.1	protein_coding	0	1	4	6	0	0	0	6	4	0	0	0	1
SETX	SETX	NM_001351528.2	protein_coding	0	1	4	6	0	0	0	6	4	0	0	0	1
SETX	SETX	NM_015046.7	protein_coding	0	1	4	6	0	0	0	6	4	0	0	0	1
SH3GLB2	SH3GLB2	NM_001287045.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001287046.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369913.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369914.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369915.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_020145.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SHOC1	SHOC1	NM_001080551.3	protein_coding	0	2	5	4	0	0	0	6	5	0	2	0	0
SHOC1	SHOC1	NM_173521.5	protein_coding	0	2	5	5	0	0	0	7	5	0	2	0	0
SLC25A25	SLC25A25	NM_001006641.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
SLC25A25	SLC25A25	NM_001006642.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
SLC25A25	SLC25A25	NM_001265614.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
SLC25A25	SLC25A25	NM_001330988.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
SLC25A25	SLC25A25	NM_052901.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
SLC31A2	SLC31A2	NM_001860.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SLC34A3	SLC34A3	NM_001177316.2	protein_coding	0	1	1	0	0	0	0	0	1	0	1	0	1
SLC34A3	SLC34A3	NM_001177317.1	protein_coding	0	1	1	0	0	0	0	0	1	0	1	0	1
SLC34A3	SLC34A3	NM_080877.2	protein_coding	0	1	1	0	0	0	0	0	1	0	1	0	1
SLC44A1	SLC44A1	NM_001286730.2	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
SLC44A1	SLC44A1	NM_001330731.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SLC44A1	SLC44A1	NM_080546.5	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
SLC46A2	SLC46A2	NM_033051.4	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
SNAPC4	SNAPC4	NM_003086.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
SNX30	SNX30	NM_001012994.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
SOHLH1	SOHLH1	NM_001012415.3	protein_coding	0	4	2	4	0	0	0	5	2	0	1	0	3
SOHLH1	SOHLH1	NM_001101677.2	protein_coding	0	3	2	5	0	0	0	6	2	0	1	0	2
SPOUT1	SPOUT1	NM_016390.4	protein_coding	0	0	1	3	1	0	0	2	1	0	0	0	0
SPTAN1	SPTAN1	NM_001130438.3	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	4
SPTAN1	SPTAN1	NM_001195532.2	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	4
SPTAN1	SPTAN1	NM_001363759.2	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	4
SPTAN1	SPTAN1	NM_001363765.2	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	4
SPTAN1	SPTAN1	NM_003127.4	protein_coding	0	4	0	14	0	0	0	14	0	0	0	0	4
SSNA1	SSNA1	NM_003731.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
STKLD1	STKLD1	NM_153710.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
STPG3	STPG3	NM_001004353.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
STPG3	STPG3	NM_001256699.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
STPG3	STPG3	NM_001256700.1	protein_coding	0	1	0	0	0	0	0	1	0	0	1	0	0
STPG3	STPG3	NM_001256701.1	protein_coding	0	1	0	0	0	0	0	1	0	0	1	0	0
STRBP	STRBP	NM_001171137.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
STRBP	STRBP	NM_018387.5	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
STX17	STX17	NM_017919.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
STXBP1	STXBP1	NM_001032221.5	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374306.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374307.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374308.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374309.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374310.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374311.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374312.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374313.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_001374314.1	protein_coding	1	0	0	1	0	0	0	1	0	0	0	1	0
STXBP1	STXBP1	NM_001374315.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
STXBP1	STXBP1	NM_003165.5	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
SURF2	SURF2	NM_001278928.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
SURF2	SURF2	NM_017503.5	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
SURF4	SURF4	NM_001280788.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_001280789.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_001280790.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_001280791.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_001280792.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_001280793.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF4	SURF4	NM_033161.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
SURF6	SURF6	NM_001278942.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SURF6	SURF6	NM_006753.6	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
SUSD1	SUSD1	NM_001282640.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
SUSD1	SUSD1	NM_001282643.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
SUSD1	SUSD1	NM_022486.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
SVEP1	SVEP1	NM_153366.4	protein_coding	0	4	7	2	0	0	0	2	7	0	0	0	4
TBC1D13	TBC1D13	NM_001286772.1	protein_coding	0	0	0	4	2	0	0	2	0	0	0	0	0
TBC1D13	TBC1D13	NM_018201.5	protein_coding	0	0	0	4	2	0	0	2	0	0	0	0	0
TBC1D2	TBC1D2	NM_001267571.2	protein_coding	0	1	1	2	0	0	0	2	1	0	0	0	1
TBC1D2	TBC1D2	NM_001267572.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TBC1D2	TBC1D2	NM_018421.4	protein_coding	0	1	1	2	0	0	0	2	1	0	0	0	1
TDRD7	TDRD7	NM_001302884.2	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0
TDRD7	TDRD7	NM_014290.3	protein_coding	0	1	1	2	0	0	0	2	1	0	0	0	1
TEX10	TEX10	NM_001161584.1	protein_coding	0	1	0	3	0	0	1	2	0	0	0	0	1
TEX10	TEX10	NM_017746.4	protein_coding	0	1	0	3	0	0	0	3	0	0	0	0	1
TLR4	TLR4	NM_003266.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TLR4	TLR4	NM_138554.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TLR4	TLR4	NM_138557.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TMEFF1	TMEFF1	NM_003692.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TMEM245	TMEM245	NM_032012.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TMOD1	TMOD1	NM_001166116.1	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
TMOD1	TMOD1	NM_003275.4	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
TNC	TNC	NM_002160.4	protein_coding	0	6	3	2	0	0	0	2	3	0	0	0	6
TNFSF15	TNFSF15	NM_001204344.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TNFSF15	TNFSF15	NM_005118.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TOR1A	TOR1A	NM_000113.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TOR1B	TOR1B	NM_001317893.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TOR1B	TOR1B	NM_001317894.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TOR1B	TOR1B	NM_014506.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TOR2A	TOR2A	NM_001085347.3	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
TOR2A	TOR2A	NM_001134430.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TOR2A	TOR2A	NM_001134431.3	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001252018.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
TOR2A	TOR2A	NM_001252021.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
TOR2A	TOR2A	NM_001252023.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TOR2A	TOR2A	NM_130459.4	protein_coding	0	0	1	1	1	0	0	0	1	0	0	0	0
TPRN	TPRN	NM_001128228.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
TRAF2	TRAF2	NM_021138.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TRMO	TRMO	NM_001330725.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
TRMO	TRMO	NM_001371657.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TRMO	TRMO	NM_001371658.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TRMO	TRMO	NM_001371659.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TRMO	TRMO	NM_001371660.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
TRMO	TRMO	NM_001371661.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
TRMO	TRMO	NM_016481.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
TSC1	TSC1	NM_000368.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TSC1	TSC1	NM_001162426.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TSC1	TSC1	NM_001162427.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TSC1	TSC1	NM_001362177.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TSTD2	TSTD2	NM_139246.5	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
TTC16	TTC16	NM_001317037.2	protein_coding	0	2	0	0	0	0	0	1	0	0	1	0	1
TTC16	TTC16	NM_144965.3	protein_coding	0	2	0	0	0	0	0	1	0	0	1	0	1
TTF1	TTF1	NM_001205296.1	protein_coding	0	2	0	4	0	0	0	4	0	0	0	0	2
TTF1	TTF1	NM_007344.4	protein_coding	0	2	1	3	0	0	0	3	1	0	0	0	2
TXN	TXN	NM_001244938.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TXN	TXN	NM_003329.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
TXNDC8	TXNDC8	NM_001003936.4	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
TXNDC8	TXNDC8	NM_001286946.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TXNDC8	TXNDC8	NM_001286947.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TXNDC8	TXNDC8	NM_001364963.1	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
UAP1L1	UAP1L1	NM_207309.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
UBAC1	UBAC1	NM_016172.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NM_001135954.2	protein_coding	0	0	2	2	0	0	0	2	2	0	0	0	0
UCK1	UCK1	NM_001261450.2	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
UCK1	UCK1	NM_001261451.2	protein_coding	0	2	1	1	0	0	0	1	1	0	0	0	2
UCK1	UCK1	NM_001318519.1	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
UCK1	UCK1	NM_031432.5	protein_coding	0	2	0	2	0	0	0	2	0	0	0	0	2
USP20	USP20	NM_001008563.4	protein_coding	0	5	0	4	0	0	0	5	0	0	1	0	4
USP20	USP20	NM_001110303.4	protein_coding	0	5	0	4	0	0	0	5	0	0	1	0	4
USP20	USP20	NM_006676.7	protein_coding	0	5	0	4	0	0	0	5	0	0	1	0	4
VAV2	VAV2	NM_001134398.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
VAV2	VAV2	NM_003371.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
WDR34	WDR34	NM_052844.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
WDR38	WDR38	NM_001045476.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
WDR38	WDR38	NM_001276374.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
WDR38	WDR38	NM_001276375.2	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
WDR38	WDR38	NM_001276376.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
WDR5	WDR5	NM_017588.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
WDR5	WDR5	NM_052821.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
WHRN	WHRN	NM_001083885.2	protein_coding	0	2	6	3	0	1	1	2	6	0	0	0	1
WHRN	WHRN	NM_001173425.2	protein_coding	0	1	7	2	0	0	0	2	7	0	0	0	1
WHRN	WHRN	NM_001346890.1	protein_coding	0	1	6	1	0	0	0	1	6	0	0	0	1
WHRN	WHRN	NM_015404.4	protein_coding	0	1	7	2	0	0	0	2	7	0	0	0	1
XPA	XPA	NM_000380.3	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
XPA	XPA	NM_001354975.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ZBTB43	ZBTB43	NM_001135776.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ZBTB43	ZBTB43	NM_014007.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ZDHHC12	ZDHHC12	NM_001318015.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ZDHHC12	ZDHHC12	NM_001318016.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ZDHHC12	ZDHHC12	NM_001318020.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ZDHHC12	ZDHHC12	NM_001318023.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ZDHHC12	ZDHHC12	NM_032799.5	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ZER1	ZER1	NM_006336.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ZFP37	ZFP37	NM_001282515.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
ZFP37	ZFP37	NM_001282518.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
ZFP37	ZFP37	NM_003408.3	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
ZNF462	ZNF462	NM_001347997.2	protein_coding	0	0	2	3	0	0	0	3	2	0	0	0	0
ZNF462	ZNF462	NM_021224.6	protein_coding	0	1	4	0	0	0	0	0	4	0	0	0	1
ZNF618	ZNF618	NM_001318040.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
ZNF618	ZNF618	NM_001318041.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
ZNF618	ZNF618	NM_001318042.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
ZNF618	ZNF618	NM_133374.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	3
