Supplementary Table 3. Associations observed at p<5x10-8 and variant features.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
210	Blue.780.60.MDSC.trait8	CD33 on CD33br HLA DR+	10	9182	0.049	19:51479087,19:51488983,19:51503062,19:51709806,19:51717576,19:51727962,19:51734857,19:51739226,19:51878103,19:51917546
210	Blue.780.60.MDSC.trait9	CD33 on CD33br HLA DR+ CD14-	10	8734	0.038	19:51479087,19:51503062,19:51510357,19:51709806,19:51717576,19:51727962,19:51734857,19:51739226,19:51878103,19:51917546
210	MDSC_Trait10	Im MDSC AC	2	3512	0.04	19:51728641
210	MDSC_Trait11	Im MDSC %CD33dim HLA DR- CD66b-	2	2666	0.01	19:51728641
210	MDSC_Trait12	CD33br HLA DR+ AC	2	7	0.45	19:51709806,19:51727962
210	MDSC_Trait13	CD33br HLA DR+ CD14- AC	2	6	0.33	19:51709806,19:51727962
210	MDSC_Trait14	CD33br HLA DR+ CD14- %CD33br HLA DR+	3	1102	0.03	19:51709806,19:51731176
210	MDSC_Trait15	CD33br HLA DR+ CD14dim AC	2	7	0.36	19:51709806,19:51727962
210	MDSC_Trait23	CD33- HLA DR+ AC	3	106	0.093	19:51473824,19:51718317,19:51728297
210	MDSC_Trait24	Gr MDSC AC	2	138	0.057	19:51580857,19:51727962
210	MDSC_Trait4	Mo MDSC AC	2	8	0.33	19:51709806,19:51737991
210	MDSC_Trait5	CD33dim HLA DR- AC	3	128	0.21	19:51527821,19:51709806,19:51736383
210	MDSC_Trait8	Basophil AC	3	13	0.36	19:51527821,19:51709806,19:51727962
210	MDSC_Trait9	Basophil %CD33dim HLA DR- CD66b-	3	31	0.11	19:51709806,19:51720625,19:51727962
210	Red.780.60.MDSC.trait15	CD45 on CD33- HLA DR+	3	27	0.11	19:51728297,19:51735023,19:51770292
210	Red.780.60.MDSC.trait8	CD45 on Im MDSC	3	145	0.025	19:51709806,19:51726613,19:51737121
211	Bcells.trait389	CD20 on IgD- CD27-	1	11	0.25	20:44746982
211	Bcells.trait501	CD25 on IgD- CD27-	2	1681	0.14	20:44746982,20:44881006
211	Bcells.trait537	CD27 on CD24+ CD27+	2	4	0.29	20:44746982,20:44750991
211	Bcells.trait561	CD27 on IgD+ CD24+	2	284	0.24	20:44746982,20:44750991
211	Bcells.trait565	CD27 on IgD- CD38-	2	8	0.4	20:44609092,20:44746982
211	Bcells.trait567	CD27 on IgD- CD38dim	3	131	0.17	20:44609092,20:44746982,20:44751321
211	Bcells.trait570	CD27 on memory B cell	1	2	0.56	20:44746982
211	Bcells.trait571	CD27 on unsw mem	2	25	0.33	20:44609092,20:44747947
211	Bcells.trait574	CD27 on sw mem	3	31	0.17	20:44746982,20:44750991,20:44751321
211	BC_Trait19	IgD- CD27- %B cell	2	38	0.15	20:44609092,20:44747947
211	BC_Trait20	IgD- CD27- AC	1	9	0.71	20:44749251
211	BC_Trait55	IgD- CD27- %lymphocyte	2	1825	0.078	20:44609092,20:44747947
211	mono.trait10	CD40 on CD14+ CD16- monocyte	2	12	0.1	20:44732089,20:44747086
211	mono.trait11	CD40 on CD14+ CD16+ monocyte	3	508	0.024	20:44745896,20:44747086,20:44763932
211	mono.trait17	CD40 on monocytes	2	28	0.073	20:44735263,20:44747086
211	mono.trait22	CD40 on CD14- CD16+ monocyte	2	19	0.094	20:44747086,20:44778412
215	Violet.450.50.MDSC.trait4	CD11b on CD33dim HLA DR-	2	7	0.19	21:46328099,21:46339435
215	Violet.450.50.MDSC.trait6	CD11b on basophil	3	1254	0.062	21:46328099,21:46340512
219	Bcells.trait111	BAFF-R on CD20- CD38-	2	32	0.083	22:42315371,22:42324844
219	Bcells.trait112	BAFF-R on CD24+ CD27+	8	33979	0.0022	22:42317478,22:42324844,22:42333408,22:42370991,22:42537597
219	Bcells.trait137	BAFF-R on IgD+ CD24+	5	5046	0.0096	22:42315371,22:42324844,22:42333408,22:42370991,22:42490292
219	Bcells.trait138	BAFF-R on IgD+ CD24-	3	579	0.019	22:42317478,22:42324844
219	Bcells.trait139	BAFF-R on IgD+ CD38-	10	31297	0.0022	22:42317478,22:42324844,22:42333408,22:42442620,22:42454950,22:42468246,22:42498204,22:42516205,22:42526775
219	Bcells.trait142	BAFF-R on IgD+ CD38br	3	411	0.0091	22:42324700,22:42324844,22:42374349
219	Bcells.trait143	BAFF-R on IgD+ CD38dim	3	415	0.019	22:42324844,22:42326017,22:42333408
219	Bcells.trait147	BAFF-R on IgD- CD24-	3	20072	0.0091	22:42315371,22:42324844
219	Bcells.trait148	BAFF-R on IgD- CD27-	5	23609	0.00084	22:42316496,22:42324844,22:42333408,22:42408079,22:42473603
219	Bcells.trait149	BAFF-R on IgD- CD38-	10	7508	0.0013	22:42320131,22:42324844,22:42333408,22:42386269,22:42419433,22:42454950,22:42470221,22:42472237,22:42481400,22:42506193
219	Bcells.trait150	BAFF-R on IgD- CD38br	3	2248	0.021	22:42315371,22:42324844,22:42536700
219	Bcells.trait151	BAFF-R on IgD- CD38dim	10	19538	0.0037	22:42316496,22:42324844,22:42333408,22:42442620,22:42454950,22:42463366,22:42493098,22:42516205,22:42525089,22:42548433
219	Bcells.trait154	BAFF-R on memory B cell	10	9594	0.0012	22:42315371,22:42324844,22:42333408,22:42442620,22:42454950,22:42463366,22:42493081,22:42517989,22:42526775,22:42548433
219	Bcells.trait156	BAFF-R on naive-mature B cell	3	597	0.018	22:42317478,22:42324844
219	Bcells.trait157	BAFF-R on unsw mem	5	7922	0.012	22:42320131,22:42324844,22:42333408,22:42370991,22:42537597
219	Bcells.trait159	BAFF-R on sw mem	10	12949	0.0076	22:42317478,22:42324844,22:42333408,22:42419433,22:42436322,22:42442620,22:42454950,22:42463814,22:42466905,22:42512370
219	Bcells.trait160	BAFF-R on IgD+	3	467	0.015	22:42324844,22:42326166,22:42333408
219	Bcells.trait161	BAFF-R on transitional	3	555	0.0098	22:42203369,22:42316496,22:42324844
219	Bcells.trait84	BAFF-R on B cell	5	21972	0.00054	22:42317478,22:42324844,22:42333408,22:42374349
219	Bcells.trait85	BAFF-R on CD20-	2	16	0.13	22:42321591,22:42324844
